GeneID	GGACP	GGACS	GGACT	GGACU	GGAXP	GGAXS	GGAXT	GGAXU	GGAXW	GGAXX	GGAXY	GGAXZ
gene_516	0	0	0	0	0	0	0	0	0	0	0	0
gene_5160	0	0	0	5	5	6	6	7	22	9	11	18
gene_5161	0	0	0	42	26	16	12	28	32	33	22	26
gene_5162	0	0	0	90	52	16	24	29	56	25	17	46
gene_5163	0	0	0	4	1	2	1	6	2	1	0	4
gene_5164	0	0	0	48	21	22	6	10	24	3	4	9
gene_5165	0	0	0	33	21	20	7	5	25	3	6	12
gene_5166	0	0	0	5	1	1	1	2	4	1	3	6
gene_5167	0	0	0	6	6	0	1	16	6	6	2	8
gene_5168	0	0	0	1	2	0	0	0	1	1	0	5
gene_5169	0	0	0	13	4	4	6	4	9	0	5	11
gene_517	0	0	0	0	0	0	0	0	0	0	0	0
gene_5170	0	0	0	189	93	44	22	19	84	32	31	49
gene_5171	0	0	0	1	1	0	0	0	0	0	0	0
gene_5172	0	0	0	58	29	16	12	23	31	26	18	42
gene_5173	0	0	0	22	7	6	1	3	10	3	3	5
gene_5174	0	0	0	130	101	44	37	44	179	25	39	66
gene_5175	0	0	0	66	55	26	27	41	133	30	48	56
gene_5176	0	0	0	449	44	42	2	11	30	10	17	11
gene_5177	0	0	0	60	20	16	1	3	4	1	5	3
gene_5178	0	0	0	287	78	84	0	0	0	0	10	1
gene_5179	0	0	0	1136	90	120	22	44	50	41	17	34
gene_518	0	0	0	0	0	0	0	0	0	0	0	0
gene_5180	0	0	0	317	181	119	4	2	1	2	13	3
gene_5181	0	0	0	0	0	0	0	0	0	0	0	0
gene_5182	0	0	0	5	1	3	0	1	1	0	1	2
gene_5183	0	0	0	7	7	14	1	3	15	2	2	9
gene_5184	0	0	0	1	0	0	0	1	0	0	1	0
gene_5185	0	0	0	0	0	0	0	0	0	0	0	0
gene_5186	3	0	0	9	3	6	4	3	12	5	6	6
gene_5187	0	0	0	21	7	7	5	18	42	4	9	15
gene_5188	0	0	0	0	0	0	0	0	0	0	0	0
gene_5189	0	0	0	0	0	0	0	0	0	0	0	0
gene_519	0	0	0	1	0	0	0	0	0	0	0	0
gene_5190	0	0	0	0	0	0	0	0	0	0	0	0
gene_5191	0	0	0	0	0	0	0	0	0	0	0	0
