GeneID	GCWZC	GCWZG	GCWZH	GCWZN	GCWZO	GCWZP	GCWZS	GCWZT	GCWZU	GCWZW	GCWZX
gene_60	0	0	0	20	11	6	7	16	12	10	23
gene_600	0	0	0	4	5	6	1	3	4	1	8
gene_6000	0	0	0	46	44	13	16	23	20	6	35
gene_6001	0	0	0	0	0	0	0	1	1	2	2
gene_6002	0	0	0	1	5	5	0	3	2	0	4
gene_6003	0	0	0	27	14	5	6	11	6	4	16
gene_6004	0	0	0	9	8	0	0	4	2	2	2
gene_6005	0	0	0	49	57	13	19	15	20	12	37
gene_6006	0	0	0	4	11	5	3	2	4	2	2
gene_6007	0	0	0	101	41	20	24	33	33	12	67
gene_6008	0	0	0	10	4	3	8	5	6	3	12
gene_6009	0	0	0	6	2	0	4	0	0	0	5
gene_601	0	0	0	1	1	1	2	2	3	2	1
gene_6010	0	0	0	66	44	21	20	20	31	19	52
gene_6011	0	0	0	0	0	0	0	0	0	0	0
gene_6012	0	0	0	0	0	0	0	0	0	0	0
gene_6013	0	0	0	17	9	7	5	9	15	3	11
gene_6014	0	0	0	4	3	4	5	1	2	1	1
gene_6015	0	0	0	29	20	11	10	16	8	1	15
gene_6016	0	0	0	50	38	20	20	32	21	19	64
gene_6017	0	0	0	1	0	1	2	0	1	0	0
gene_6018	0	0	0	5	5	1	0	5	1	2	7
gene_6019	0	0	0	7	10	7	6	8	1	4	12
gene_602	0	0	0	15	7	1	2	5	4	0	4
gene_6020	0	0	0	0	0	0	0	0	0	0	0
gene_6021	0	0	0	6	7	2	1	3	3	0	7
gene_6022	0	0	0	8	2	4	1	3	3	0	6
gene_6023	0	0	0	4	5	1	0	0	0	0	1
gene_6024	0	0	0	10	3	13	15	17	18	7	33
gene_6025	0	0	0	9	8	0	6	3	4	3	12
gene_6026	0	0	0	8	4	3	1	2	2	0	5
gene_6027	0	0	0	64	39	40	28	42	58	23	78
gene_6028	0	0	0	2	2	3	0	3	2	1	4
gene_6029	0	0	0	0	0	0	0	0	1	0	2
gene_603	0	0	0	1	0	0	1	0	0	0	2
gene_6030	0	0	0	44	27	14	8	10	9	4	20
gene_6031	0	0	0	5	6	0	3	4	6	2	5
gene_6032	0	0	0	6	7	4	2	2	0	1	2
gene_6033	0	0	0	39	28	12	16	20	24	10	37
gene_6034	0	0	0	13	11	1	0	4	2	1	3
gene_6035	0	0	0	12	17	6	3	11	5	1	14
gene_6036	0	0	0	4	6	0	1	0	1	0	2
gene_6037	0	0	0	233	238	77	65	104	128	52	215
gene_6038	0	0	0	8	6	42	75	67	31	27	33
gene_6039	0	0	0	47	36	14	18	16	27	12	33
gene_604	0	0	0	22	18	13	4	11	11	7	23
gene_6040	0	0	0	51	45	14	19	20	27	13	49
gene_6041	0	0	0	10	12	1	4	1	3	2	7
gene_6042	0	0	0	6	3	2	4	7	3	1	8
gene_6043	0	0	0	72	62	13	30	20	37	17	59
gene_6044	0	0	0	0	0	0	0	0	0	0	0
gene_6045	0	0	0	18	7	1	3	2	6	1	8
gene_6046	0	0	0	1	2	8	0	6	5	1	3
gene_6047	0	0	0	10	8	2	0	5	3	4	10
gene_6048	0	0	0	36	39	12	8	17	15	5	36
gene_6049	0	0	0	22	25	12	9	12	19	12	25
gene_605	0	0	0	929	552	334	263	332	350	215	819
gene_6050	0	0	0	16	17	7	5	8	9	7	14
gene_6051	0	0	0	11	12	3	4	4	4	0	5
gene_6052	0	0	0	196	135	64	47	70	76	44	142
gene_6053	0	0	0	8	11	12	14	12	12	21	54
gene_6054	0	0	0	101	89	15	16	17	30	12	69
gene_6055	0	0	0	37	31	6	6	12	4	4	13
gene_6056	0	0	0	63	62	23	24	25	33	26	60
gene_6057	0	0	0	0	0	0	0	0	0	0	0
gene_6058	0	0	0	0	0	1	1	0	0	0	1
gene_6059	0	0	0	22	38	23	9	17	25	15	68
gene_606	0	0	0	6	9	3	0	6	3	2	3
gene_6060	0	0	0	29	39	11	9	13	28	7	28
gene_6061	0	0	0	24	21	8	1	2	3	5	13
gene_6062	0	0	0	23	27	7	7	7	12	5	16
gene_6063	0	0	0	339	145	41	9	28	21	21	13
gene_6064	0	0	0	84	74	15	7	16	16	11	53
gene_6065	0	0	0	18	13	4	2	3	12	4	14
gene_6066	0	0	0	4	0	0	2	1	1	1	6
gene_6067	0	0	0	24	17	6	3	3	9	1	14
gene_6068	0	0	0	0	0	0	0	0	0	0	0
gene_6069	0	0	0	0	0	0	0	0	0	0	0
gene_607	0	0	0	8	1	0	0	1	0	0	3
gene_6070	0	0	0	1	0	0	0	1	0	0	0
gene_6071	0	0	0	50	37	17	13	18	17	11	38
gene_6072	0	0	0	30	31	13	4	8	10	4	24
gene_6073	0	0	0	18	12	5	2	5	4	2	11
gene_6074	0	0	0	0	0	0	0	0	0	0	0
gene_6075	0	0	0	20	20	9	10	9	10	9	12
gene_6076	0	0	0	110	110	54	30	43	108	34	98
gene_6077	0	0	0	4	1	0	0	0	1	0	3
gene_6078	0	0	0	0	0	0	0	0	0	0	0
gene_6079	0	0	0	0	0	0	0	0	0	0	0
gene_608	0	0	0	8	4	1	1	6	3	5	3
gene_6080	0	0	0	0	0	0	0	0	0	0	0
gene_6081	0	0	0	2	2	2	1	1	1	0	1
gene_6082	0	0	0	0	0	0	0	0	0	0	0
gene_6083	0	0	0	3	3	1	1	3	2	0	1
gene_6084	0	0	0	0	0	0	0	0	0	0	0
gene_6085	0	0	0	5	7	2	2	3	2	0	5
gene_6086	0	0	0	0	0	1	0	0	1	0	0
gene_6087	0	0	0	5	3	2	1	4	1	0	13
gene_6088	0	0	0	0	0	0	0	1	0	0	0
gene_6089	0	0	0	22	16	9	6	8	3	5	18
gene_609	0	0	0	16	13	0	3	9	4	2	17
gene_6090	0	0	0	0	0	1	0	0	4	1	0
gene_6091	0	0	0	0	0	1	0	1	0	0	1
gene_6092	0	0	0	26	10	6	2	5	12	2	28
gene_6093	0	0	0	1	5	2	1	1	0	0	1
gene_6094	0	0	0	0	0	0	0	0	0	0	0
gene_6095	0	0	0	0	0	0	0	0	0	0	0
gene_6096	0	0	0	7	4	2	5	7	4	1	9
gene_6097	0	0	0	23	15	3	4	6	6	1	8
