GeneID	GGABY	GCYUU	GCYUW	GCYUX	GCYUY	GCYUZ	GCYWA	GCYWB	GCYWC	GCYWG	GCUXP
gene_8353	0	0	2	10	15	10	12	22	7	2	19
gene_8354	0	0	8	11	21	16	33	35	9	5	19
gene_8355	0	0	0	0	4	4	4	3	2	4	1
gene_8356	0	0	0	3	0	1	2	14	0	2	2
gene_8357	0	0	0	1	4	0	3	2	1	0	0
gene_8358	0	0	3	5	1	0	4	5	0	0	0
gene_8359	0	0	34	60	97	53	75	101	21	3	65
gene_836	0	0	2	3	8	5	9	17	8	1	6
gene_8360	0	0	0	0	0	2	0	5	2	0	0
gene_8361	0	0	18	24	43	26	57	37	13	3	15
gene_8362	0	0	10	26	37	16	14	22	11	3	12
gene_8363	0	0	0	0	2	1	2	0	0	0	1
gene_8364	0	0	11	15	44	38	34	46	11	7	44
gene_8365	0	0	0	0	0	0	0	0	0	0	0
gene_8366	0	0	0	0	1	0	0	2	0	0	2
gene_8367	0	0	4	9	13	3	5	4	1	0	5
gene_8368	0	0	0	0	0	1	0	4	2	0	0
gene_8369	0	0	0	0	0	0	0	1	0	0	0
gene_837	0	0	0	0	5	0	1	3	3	1	10
gene_8370	0	0	0	0	0	0	0	1	0	0	0
gene_8371	0	0	0	3	2	0	2	5	1	1	0
gene_8372	0	0	27	44	60	42	45	53	11	5	31
gene_8373	0	0	0	0	0	1	0	3	0	0	1
gene_8374	0	0	0	1	0	0	0	0	0	1	0
gene_8375	0	0	1	1	2	3	4	3	3	1	3
gene_8376	0	0	0	1	2	2	4	2	0	1	2
gene_8377	0	0	5	17	8	15	10	16	4	7	15
gene_8378	0	0	1	5	7	1	3	4	0	0	0
gene_8379	0	0	5	10	24	21	17	32	8	5	4
gene_838	0	0	22	44	87	57	63	92	40	11	72
gene_8380	0	0	2	5	7	7	5	10	1	0	3
gene_8381	0	0	0	1	3	0	0	0	0	1	4
gene_8382	0	0	20	35	62	103	74	98	50	20	66
gene_8383	0	0	0	2	2	1	4	7	0	1	3
gene_8384	0	0	81	93	145	416	939	975	141	194	330
gene_8385	0	0	221	420	898	691	1620	1701	278	126	803
gene_8386	0	0	3	13	15	8	11	10	2	2	23
gene_8387	0	0	4	5	14	6	8	9	4	2	6
gene_8388	0	0	5	1	4	5	4	5	5	3	2
gene_8389	0	0	0	2	3	1	0	3	1	0	0
gene_839	0	0	5	9	9	13	8	16	4	1	5
gene_8390	0	0	0	0	1	3	2	1	2	0	1
gene_8391	0	0	2	0	6	4	6	2	2	0	2
gene_8392	0	0	1	0	0	0	4	2	0	2	0
gene_8393	0	0	3	10	6	3	7	15	9	0	9
gene_8394	0	0	3	15	14	9	5	19	6	0	11
gene_8395	0	0	1	0	1	6	15	6	4	3	4
gene_8396	0	0	0	0	0	0	0	0	0	0	1
gene_8397	0	0	0	0	3	0	0	0	0	0	0
gene_8398	0	0	0	0	0	0	0	0	0	0	0
gene_8399	0	0	3	3	7	4	2	8	1	0	3
gene_84	0	0	13	23	44	20	20	21	14	0	25
gene_840	0	0	2	1	2	8	9	16	4	4	7
gene_8400	0	0	11	12	14	28	36	19	14	10	18
gene_8401	0	0	29	22	54	77	85	91	43	9	49
gene_8402	0	0	13	27	27	41	45	39	16	8	29
gene_8403	0	0	13	28	44	37	31	48	11	9	28
gene_8404	0	0	3	5	15	20	18	24	6	3	18
gene_8405	0	0	4	4	24	12	11	32	4	0	7
gene_8406	0	0	17	17	19	15	13	35	13	5	20
gene_8407	0	0	0	0	0	0	0	0	0	0	0
gene_8408	0	0	14	66	57	28	65	113	83	37	155
gene_8409	0	0	2	4	7	8	9	15	11	0	7
gene_841	0	0	32	72	58	42	53	72	22	2	51
gene_8410	0	0	2	10	18	18	15	21	7	1	17
gene_8411	0	0	0	0	0	2	4	2	1	1	1
gene_8412	0	0	48	77	139	46	98	120	35	17	68
gene_8413	0	0	5	8	12	4	6	11	4	0	5
gene_8414	0	0	0	0	0	0	0	0	0	0	0
gene_8415	0	0	27	40	149	105	59	104	71	16	100
gene_8416	0	0	4	6	6	5	2	5	0	0	4
gene_8417	0	0	0	0	2	0	0	0	0	0	0
gene_8418	0	0	0	1	2	17	20	26	14	8	17
gene_8419	0	0	0	0	3	19	0	7	0	0	4
gene_842	0	0	30	48	72	58	66	90	17	8	50
gene_8420	0	0	7	8	22	23	12	17	4	0	7
gene_8421	0	0	16	18	42	27	29	33	8	5	28
gene_8422	0	0	17	64	106	46	68	68	41	8	45
gene_8423	0	0	3	3	6	2	4	5	4	0	5
