GeneID	GCUYS	GCUYT	GCUYU	GCUYW	GCUYX	GCUYY	GCUYZ	GCUZA	GCUZB	GCUYN	GCUYO
gene_8893	0	0	0	3	5	3	15	1	2	1	1
gene_8894	0	0	0	2	9	7	13	5	3	7	14
gene_8895	0	0	0	2	0	6	3	2	1	3	4
gene_8896	0	0	0	14	20	21	37	8	3	6	29
gene_8897	0	0	0	1	3	2	4	5	0	1	4
gene_8898	0	0	0	77	120	72	193	36	27	46	112
gene_8899	0	0	0	18	30	27	58	14	6	14	29
gene_89	0	0	0	13	12	9	29	10	2	5	19
gene_890	0	0	0	18	27	17	45	12	4	16	10
gene_8900	0	0	0	3	1	4	5	0	0	5	1
gene_8901	0	0	0	0	0	0	0	0	0	0	0
gene_8902	0	0	0	0	0	1	0	0	0	0	0
gene_8903	0	0	0	5	2	3	17	2	0	2	6
gene_8904	0	0	0	11	23	99	162	29	11	26	22
gene_8905	0	0	0	0	3	2	3	0	0	0	1
gene_8906	0	0	0	6	26	23	32	7	3	7	14
gene_8907	0	0	0	1	3	0	0	2	2	0	1
gene_8908	0	0	0	6	16	3	18	6	1	2	5
gene_8909	0	0	0	16	43	12	32	17	3	10	21
gene_891	0	0	0	35	45	36	99	15	14	12	48
gene_8910	0	0	0	16	32	20	42	4	9	14	19
gene_8911	0	0	0	0	0	0	0	0	0	0	0
gene_8912	0	0	0	0	0	0	0	0	0	0	0
gene_8913	0	0	0	0	1	3	4	0	0	1	2
gene_8914	0	0	0	114	75	55	249	32	9	33	72
gene_8915	0	0	0	25	25	22	91	14	16	12	43
gene_8916	0	0	0	30	25	12	34	14	3	12	28
gene_8917	0	0	0	110	110	42	161	48	15	44	79
gene_8918	0	0	0	4	9	3	1	3	0	0	3
gene_8919	0	0	0	0	1	0	0	1	0	0	1
gene_892	0	0	0	33	31	32	74	17	14	27	47
gene_8920	0	0	0	6	3	1	6	2	1	0	2
gene_8921	0	0	0	43	42	10	57	7	8	12	32
gene_8922	0	0	0	14	6	7	12	3	3	3	13
gene_8923	0	0	0	0	1	3	2	3	1	0	3
gene_8924	0	0	0	28	25	12	35	9	5	0	13
gene_8925	0	0	0	0	0	0	0	0	0	0	0
gene_8926	0	0	0	9	9	0	5	1	1	0	4
gene_8927	0	0	0	2	5	0	3	1	4	2	5
gene_8928	0	0	0	0	1	1	1	0	0	0	2
gene_8929	0	0	0	0	1	0	1	0	0	0	0
gene_893	0	0	0	9	12	12	31	5	6	2	14
gene_8930	0	0	0	0	0	0	0	0	0	0	0
gene_8931	0	0	0	11	17	4	32	8	3	7	27
gene_8932	0	0	0	9	13	6	20	1	2	3	6
gene_8933	0	0	0	89	119	75	186	59	26	52	96
gene_8934	0	0	0	21	43	14	30	12	9	13	25
gene_8935	0	0	0	35	64	34	80	24	16	25	50
gene_8936	0	0	0	0	0	0	0	0	0	0	0
gene_8937	0	0	0	0	0	0	0	0	0	0	0
