GeneID	GGHNG	GGHNH	GGHNN	GGHNO	GGHNP	GGHNS	GGHNT	GGHNU	GGHNW	GGAZP	GGAZS	GGHNX
gene_6405	0	0	0	147	137	89	77	128	173	65	251	54
gene_6406	0	0	0	0	0	0	0	0	0	0	0	0
gene_6407	0	0	0	24	47	11	31	55	87	7	75	13
gene_6408	0	0	0	3	7	4	4	9	6	2	10	1
gene_6409	0	0	0	6	4	2	2	5	8	2	4	4
gene_641	0	0	0	4	6	4	2	4	2	1	3	0
gene_6410	0	0	0	30	18	22	35	73	72	15	66	20
gene_6411	0	0	0	30	29	36	9	21	20	6	26	9
gene_6412	0	0	0	9	12	7	9	15	3	4	20	1
gene_6413	0	0	0	508	408	321	81	142	206	30	389	42
gene_6414	0	0	0	6	7	0	7	7	4	1	16	0
gene_6415	0	0	0	3	0	0	4	2	2	3	2	0
gene_6416	0	0	0	16	6	3	11	8	17	6	17	2
gene_6417	0	0	0	33	24	11	13	26	20	5	36	7
gene_6418	0	0	0	5	7	3	17	7	16	0	18	3
gene_6419	0	0	0	0	0	0	0	0	0	0	1	0
gene_642	0	0	0	8	12	9	4	7	8	2	6	2
gene_6420	0	0	0	39	10	6	173	386	122	52	467	27
gene_6421	0	0	0	65	64	37	42	54	55	15	105	22
gene_6422	0	0	0	37	23	22	22	42	38	21	73	24
gene_6423	0	0	0	11	12	9	18	19	22	6	34	7
gene_6424	0	0	0	0	0	0	0	0	0	0	0	0
gene_6425	0	0	0	3	0	2	1	2	3	1	1	1
gene_6426	0	0	0	15	15	6	8	14	24	8	36	10
gene_6427	0	0	0	36	33	25	54	99	74	27	149	37
gene_6428	0	0	0	11	5	2	5	12	8	4	15	1
gene_6429	0	0	0	6	11	5	9	27	27	1	19	2
gene_643	0	0	0	30	18	10	19	28	15	4	31	12
gene_6430	0	0	0	19	17	14	22	18	26	5	37	15
gene_6431	0	0	0	20	9	10	21	24	30	4	47	11
gene_6432	0	0	0	36	49	24	32	58	74	11	109	32
gene_6433	0	0	0	76	114	64	144	164	281	51	382	74
gene_6434	0	0	0	0	0	0	0	0	0	0	0	0
gene_6435	0	0	0	1	1	1	0	3	5	0	3	1
gene_6436	0	0	0	7	4	2	1	5	10	1	6	2
gene_6437	0	0	0	0	0	0	0	0	0	0	0	0
gene_6438	0	0	0	37	45	19	12	36	37	6	53	11
gene_6439	0	0	0	7	9	5	0	4	7	5	10	4
gene_644	0	0	0	9	3	3	33	40	24	7	73	11
gene_6440	0	0	0	43	25	25	26	58	43	13	62	22
gene_6441	0	0	0	29	30	15	5	28	13	7	51	7
gene_6442	0	0	0	0	1	1	0	2	5	0	0	0
gene_6443	0	0	0	2	3	1	2	4	4	0	7	2
gene_6444	0	0	0	1	0	1	1	4	3	2	4	0
gene_6445	0	0	0	16	6	5	17	58	43	21	60	13
gene_6446	0	0	0	0	0	0	0	0	0	0	0	0
gene_6447	0	0	0	0	0	2	1	1	0	0	1	0
gene_6448	0	0	0	20	19	18	12	17	27	6	31	5
gene_6449	0	0	0	0	0	1	0	1	3	1	4	0
gene_645	0	0	0	14	13	11	27	29	24	14	52	7
gene_6450	0	0	0	13	17	4	16	17	7	5	7	6
gene_6451	0	0	0	89	76	48	41	85	86	31	137	32
gene_6452	0	0	0	0	0	0	0	0	0	0	0	0
gene_6453	0	0	0	44	30	32	165	236	174	102	386	102
gene_6454	0	0	0	58	69	48	49	60	56	22	110	28
gene_6455	0	0	0	54	32	28	37	70	57	26	101	12
gene_6456	0	0	0	0	0	0	0	2	0	0	0	0
gene_6457	0	0	0	31	24	16	14	18	26	2	28	16
gene_6458	0	0	0	2	0	0	0	1	0	0	1	0
gene_6459	0	0	0	16	22	9	8	25	23	7	39	6
gene_646	0	0	0	17	15	14	11	22	35	5	32	12
gene_6460	0	0	0	0	0	0	0	0	0	0	0	0
gene_6461	0	0	0	0	0	0	0	0	0	0	0	0
gene_6462	0	0	0	0	0	0	0	0	0	0	0	0
gene_6463	0	0	0	7	2	12	2	5	3	0	7	1
gene_6464	0	0	0	5	3	7	1	13	7	7	7	1
gene_6465	0	0	0	4	3	0	0	2	2	1	4	0
gene_6466	0	0	0	3	4	3	4	3	5	1	6	1
gene_6467	0	0	0	0	0	0	0	1	0	0	0	0
gene_6468	0	0	0	0	0	0	0	0	0	0	0	0
gene_6469	0	0	0	0	0	0	0	0	0	0	0	0
gene_647	0	0	0	15	13	9	12	17	17	8	22	6
gene_6470	0	0	0	1	1	0	0	0	0	0	0	0
gene_6471	0	0	0	0	0	0	0	0	0	0	0	0
gene_6472	0	0	0	4	4	4	6	7	5	2	8	3
gene_6473	0	0	0	0	0	0	0	0	0	0	0	0
gene_6474	0	0	0	78	42	36	97	128	99	23	189	36
gene_6475	0	0	0	10	13	5	11	12	23	9	26	3
gene_6476	0	0	0	20	19	4	7	8	15	4	11	5
gene_6477	0	0	0	1	4	1	0	1	1	0	0	0
gene_6478	0	0	0	0	0	0	0	0	0	0	0	0
gene_6479	0	0	0	19	4	6	13	17	12	11	23	2
gene_648	0	0	0	60	69	55	53	79	88	20	154	41
gene_6480	0	0	0	5	6	0	1	2	9	0	5	2
gene_6481	0	0	0	8	9	7	16	18	1	6	11	2
gene_6482	0	0	0	1	9	1	0	0	8	6	142	19
gene_6483	0	0	0	3	3	0	2	3	15	5	54	8
gene_6484	0	0	0	18	7	10	20	36	36	15	89	38
gene_6485	0	0	0	1	1	1	1	2	1	1	4	4
gene_6486	0	0	0	1	1	1	7	18	12	7	17	8
gene_6487	0	0	0	38	34	24	33	76	80	27	109	26
gene_6488	0	0	0	0	0	0	0	0	0	0	0	0
gene_6489	0	0	0	0	0	1	0	0	0	0	0	0
gene_649	0	0	0	0	0	0	0	1	0	0	0	1
gene_6490	0	0	0	5	4	1	2	4	5	1	17	11
gene_6491	0	0	0	0	0	0	0	0	0	0	0	0
gene_6492	0	0	0	0	0	0	0	0	0	0	0	0
gene_6493	0	0	0	2	0	0	0	2	1	0	0	1
gene_6494	0	0	0	0	0	0	0	0	0	0	0	0
gene_6495	0	0	0	0	0	0	0	0	0	0	0	0
gene_6496	0	0	0	3	3	4	2	1	3	0	1	0
gene_6497	0	0	0	7	10	7	1	7	8	1	13	0
gene_6498	0	0	0	1	3	4	0	3	0	0	5	0
gene_6499	0	0	0	0	0	0	0	0	0	0	0	0
gene_65	0	0	0	2	3	1	3	4	6	0	9	0
gene_650	0	0	0	101	93	74	51	76	97	18	120	26
gene_6500	0	0	0	66	70	26	48	53	52	17	74	35
gene_6501	0	0	0	3	0	1	2	3	2	0	3	0
