GeneID	GGABG	GGABH	GGABN	GGABO	GGABP	GGABS	GGABT	GGABU	GGABW	GGABX
gene_1202	0	0	0	0	0	0	0	1	0	0
gene_1203	0	0	0	0	0	0	0	0	0	0
gene_1204	0	0	0	1	0	0	1	2	1	1
gene_1205	0	0	0	1	0	0	0	0	0	0
gene_1206	0	0	0	8	0	2	0	13	1	3
gene_1207	0	0	0	0	0	0	0	0	0	0
gene_1208	0	0	0	0	0	0	0	0	0	0
gene_1209	1	0	0	176	3	27	36	196	69	170
gene_121	0	0	0	16	0	10	4	25	6	14
gene_1210	1	0	0	82	7	21	20	125	29	71
gene_1211	0	0	0	91	2	7	15	68	21	33
gene_1212	0	0	0	17	0	0	0	8	1	2
gene_1213	0	0	0	4	0	5	2	3	0	2
gene_1214	0	0	0	10	0	3	2	8	2	5
gene_1215	0	0	0	7	1	0	5	5	0	6
gene_1216	0	0	0	23	0	4	6	16	5	10
gene_1217	0	0	0	9	1	2	7	9	6	11
gene_1218	0	0	0	0	0	0	0	2	0	2
gene_1219	0	0	0	3	0	0	0	7	0	0
gene_122	0	0	0	12	0	0	0	14	2	5
gene_1220	0	0	0	22	0	14	6	25	3	11
gene_1221	0	0	0	5	0	0	1	6	1	9
gene_1222	0	0	0	14	0	3	3	1	2	3
gene_1223	0	0	0	5	2	0	0	7	1	4
gene_1224	0	0	0	0	0	0	0	0	0	0
gene_1225	0	0	0	195	13	54	37	275	80	217
gene_1226	0	0	0	47	2	3	3	89	20	28
gene_1227	0	0	0	26	0	4	8	24	4	13
gene_1228	0	0	0	3	0	0	1	1	1	0
gene_1229	0	0	0	4	0	0	2	16	1	10
gene_123	0	0	0	8	0	0	0	3	3	2
gene_1230	0	0	0	1	0	0	0	4	2	3
gene_1231	0	0	0	14	0	4	1	23	5	15
gene_1232	0	0	0	7	0	0	3	0	0	5
gene_1233	0	0	0	5	0	4	0	4	3	4
gene_1234	0	0	0	17	0	0	4	10	3	5
gene_1235	0	0	0	10	0	11	4	45	8	12
gene_1236	0	0	0	68	2	10	20	86	19	59
gene_1237	0	0	0	11	0	8	0	19	5	2
gene_1238	0	0	0	6	0	2	0	12	5	2
gene_1239	0	0	0	11	1	4	5	5	4	11
gene_124	0	0	0	12	0	3	0	11	2	10
gene_1240	0	0	0	46	2	12	15	106	26	75
gene_1241	0	0	0	3	0	0	0	2	0	0
gene_1242	0	0	0	61	4	10	5	55	22	54
gene_1243	1	0	0	48	1	4	17	52	15	60
gene_1244	0	0	0	2	0	0	0	1	0	1
gene_1245	0	0	0	3	0	4	0	4	0	1
gene_1246	0	0	0	11	0	7	3	11	1	12
gene_1247	0	0	0	20	0	11	7	28	16	22
gene_1248	0	0	0	0	0	0	0	0	0	1
gene_1249	0	0	0	0	0	0	0	0	0	0
gene_125	0	0	0	22	0	7	0	16	7	4
gene_1250	0	0	0	0	0	0	2	3	1	3
gene_1251	0	0	0	6	0	0	6	12	4	9
gene_1252	0	0	0	26	0	8	3	50	13	16
gene_1253	0	0	0	0	0	0	0	0	0	0
gene_1254	0	0	0	18	3	2	0	28	6	14
gene_1255	0	0	0	8	2	10	0	9	3	4
gene_1256	0	0	0	8	1	4	1	12	3	2
gene_1257	0	0	0	20	1	8	10	39	13	11
gene_1258	0	0	0	21	1	6	2	37	9	9
gene_1259	0	0	0	0	0	0	1	19	4	0
gene_126	0	0	0	1	0	0	0	2	1	2
gene_1260	0	0	0	0	0	0	0	0	0	0
